"TradingDay","OrderLocalID","OrderSysID","FrontID","SessionID","OrderRef","InvestorID","BusinessUnitID","MarketID","ShareholderID","AccountID","CurrencyID","ExchangeID","SecurityID","OrderPriceType","TimeCondition","VolumeCondition","MinVolume","Direction","Price","VolumeTotalOriginal","VolumeTraded","VolumeCanceled","OrderSysStatus","OrderStatus","OrderSubmitStatus","ExchErrorMsg","ErrorID","BranchID","PbuID","OperatorID","InsertDate","InsertTime","CancelTime","ActiveTraderID","ActiveUserID","UserProductInfo","OuterIPAddress","MacAddress","RequestID","CombOffsetFlag","CombHedgeFlag","TradingCodeClass","TransfereePbuID","SpecialBizFlag","UserForceClose","LotType","ForceCloseReason","TerminalInfo","HDSerial","BInfo","SInfo","IInfo","InsertMillisec","Operway","DepartmentID","ProperCtrlBusinessType","ProperCtrlPassFlag","CondCheck","RecordNumber","IsCacheOrder","Turnover","ExchVolume","MeasureIndex","RtnFloatInfo","RtnIntInfo","Mobile","InnerIPAddress","OrderType","TraderOfferID","GTDate"
"20200604","H100000584","12002H100000584","1","-784400356","000006050133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","300015","2","3","1","0","1","39.0000000000@0000000000804340","100","100","0","3","0","3","","0","H1","395917","398000011060","20200604","09:32:13","","","","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","508","3","3980","","","","0","0","3900.0000000000@000000000078ae40","100","523","2348590.8901906163@20c4f17117eb4141","2100","","10.224.78.44","0","1",""
"20200604","H100000585","12002H100000585","1","-784400356","000006070133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","300015","2","3","1","0","1","39.0100000000@e27a14ae47814340","100","100","0","3","0","3","","0","H1","395917","398000011060","20200604","09:32:13","","","","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","708","3","3980","","","","0","0","3902.0000000000@01000000007cae40","100","524","2352488.0567832161@24ac4407b4f24141","2000","","10.224.78.44","0","1",""
"20200604","H100000588","12002H100000588","1","-784400356","000006110133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","002410","2","3","1","0","0","57.0800000000@0ad7a3703d8a4c40","100","100","0","3","0","3","","0","H1","395917","398000011060","20200604","09:32:14","","","","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","316","3","3980"," "," ","","0","0","5707.0000000000@00000000004bb640","100","525","2355789.8447319162@e92c20ec26f94141","200","","10.224.78.44","0","1",""
"20200604","H100000589","12002H100000589","1","-784400356","000006130133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","002410","2","3","1","0","0","57.0700000000@295c8fc2f5884c40","200","200","0","3","0","3","","0","H1","395917","398000011060","20200604","09:32:14","","","","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","316","3","3980"," "," ","","0","0","11414.0000000000@00000000004bc640","200","526","2344373.0202101162@be3e9682dae24141","200","","10.224.78.44","0","1",""
"20200604","H100000590","12002H100000590","1","-784400356","000006150133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","002558","2","3","1","0","1","16.6900000000@713d0ad7a3b03040","800","800","0","3","0","3","","0","H1","395917","398000011060","20200604","09:32:16","","","","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","328","3","3980","","","","0","0","13352.0000000000@010000000014ca40","800","527","2357708.4810877163@4448943de6fc4141","800","","10.224.78.44","0","1",""
"20200604","H100000591","12002H100000591","1","-784400356","000006170133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","300015","2","3","1","0","1","39.0000000000@0000000000804340","200","200","0","3","0","3","","0","H1","395917","398000011060","20200604","09:32:16","","","","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","630","3","3980","","","","0","0","7800.0000000000@000000000078be40","200","528","2365498.8192277164@2d74dc681d0c4241","1800","","10.224.78.44","0","1",""
"20200604","H100000592","12002H100000592","1","-784400356","000006190133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","002410","2","3","1","0","0","57.0600000000@48e17a14ae874c40","100","100","0","3","0","3","","0","H1","395917","398000011060","20200604","09:32:17","","","","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","334","3","3980"," "," ","","0","0","5706.0000000000@00000000004ab640","100","529","2359791.3572055162@0de9b8adf7004241","200","","10.224.78.44","0","1",""
"20200604","H100000593","12002H100000593","1","-784400356","000006210133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","002410","2","3","1","0","0","57.0600000000@48e17a14ae874c40","100","100","0","3","0","3","","0","H1","395917","398000011060","20200604","09:32:17","","","","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","334","3","3980"," "," ","","0","0","5706.0000000000@00000000004ab640","100","530","2354083.8951833160@ed5d95f2d1f54141","200","","10.224.78.44","0","1",""
"20200604","H100000594","12002H100000594","1","-784400356","000006230133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","300003","2","3","1","0","0","34.5200000000@c3f5285c8f424140","300","300","0","3","0","3","","0","H1","395917","398000011060","20200604","09:32:17","","","","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","737","3","3980"," "," ","","0","0","10356.0000000000@01000000003ac440","300","531","2343725.3232061160@69d15ea996e14141","1500","","10.224.78.44","0","1",""
"20200604","H100000595","12002H100000595","1","-784400356","000006250133","398000011060","398000011060","2","0899194750","39800001106001","CNY","2","000538","2","3","1","0","0","90.0900000000@f6285c8fc2855640","200","200","0","3","0","3","","0","H1","395917","398000011060","20200604","09:32:18","","","","qw_dlb6_2","10.224.78.44","00-0F-53-69-55-A1","0","","","a","","0","0","","","133","hd_123","","","0","38","3","3980"," "," ","","0","0","18016.0000000000@000000000098d140","200","532","2325704.9227869161@b5e11d7664be4141","200","","10.224.78.44","0","1",""
